24/06/2024, Furgao, 55	
25/06/2024, Furgao, 39	
26/06/2024, Furgao, 38	
27/06/2024, Furgao, 63	
27/06/2024, Furgao, 54		
28/06/2024, Furgao, 48		
01/07/2024, Furgao, 44	
01/07/2024, Furgao, 65	
02/07/2024, Furgao, 47	
02/07/2024, Furgao, 56	
10/07/2024, Furgao, 54	
10/07/2024, Furgao, 45	
11/07/2024, Furgao, 52	
12/07/2024, Furgao, 69	
12/07/2024, Furgao, 69	
12/07/2024, Furgao, 52	
15/07/2024, Furgao, 52	
15/07/2024, Furgao, 62	
15/07/2024, Furgao, 53	
15/07/2024, Furgao, 53	
16/07/2024, Furgao, 60	
16/07/2024, Furgao, 51	
16/07/2024, Furgao, 61	
16/07/2024, Furgao, 57		
17/07/2024, Furgao, 59	
17/07/2024, Furgao, 49	
17/07/2024, Furgao, 55	
17/07/2024, Furgao, 52	
18/07/2024, Furgao, 49	
18/07/2024, Furgao, 63	
19/07/2024, Furgao, 63	
19/07/2024, Furgao, 65	
22/07/2024, Furgao, 56	
22/07/2024, Furgao, 70	
23/07/2024, Furgao, 69	
24/07/2024, Furgao, 68	
25/07/2024, Furgao, 63	
25/07/2024, Furgao, 48	
29/07/2024, Furgao, 59	
29/07/2024, Furgao, 66			
30/07/2024, Furgao, 64	
31/07/2024, Furgao, 52	
31/07/2024, Furgao, 57	
01/08/2024, Furgao, 55	
01/08/2024, Furgao, 61	
02/08/2024, Furgao, 59	
06/08/2024, Furgao, 60
08/08/2024, Furgao, 61
09/08/2024, Furgao, 57
14/08/2024, Furgao, 65
16/08/2024, Furgao, 59
19/08/2024, Furgao, 63
22/08/2024, Furgao, 60
22/08/2024, Furgao, 60
22/08/2024, Furgao, 65
26/08/2024, Furgao, 66
26/08/2024, Furgao, 62
26/08/2024, Furgao, 56
27/08/2024, Furgao, 66
27/08/2024, Furgao, 58
27/08/2024, Furgao, 57
28/08/2024, Furgao, 45
28/08/2024, Furgao, 52
30/08/2024, Furgao, 63
30/08/2024, Furgao, 66
02/09/2024, Furgao, 63
02/09/2024, Furgao, 65
02/09/2024, Furgao, 64
06/09/2024, Furgao, 60
06/09/2024, Furgao, 64
09/09/2024, Furgao, 67
10/09/2024, Furgao, 91
11/09/2024, Furgao, 91
11/09/2024, Furgao, 68
12/09/2024, Furgao, 66
12/09/2024, Furgao, 65
12/09/2024, Furgao, 69
12/09/2024, Furgao, 71
13/09/2024, Furgao, 67
13/09/2024, Furgao, 68
25/09/2024, Furgao, 75
25/09/2024, Furgao, 67
26/09/2024, Furgao, 70
27/09/2024, Furgao, 70
27/09/2024, Furgao, 68
30/09/2024, Furgao, 62
30/09/2024, Furgao, 63
01/10/2024, Furgao, 69
01/10/2024, Furgao, 66
01/10/2024, Furgao, 67
02/10/2024, Furgao, 66
02/10/2024, Furgao, 72
02/10/2024, Furgao, 69
04/10/2024, Furgao, 68
08/10/2024, Furgao, 101
08/10/2024, Furgao, 67
09/10/2024, Furgao, 67
09/10/2024, Furgao, 70
10/10/2024, Furgao, 64
11/10/2024, Furgao, 68
11/10/2024, Furgao, 68
11/10/2024, Furgao, 66
11/10/2024, Furgao, 71
21/10/2024, Furgao, 67
22/10/2024, Furgao, 66
23/10/2024, Furgao, 68
23/10/2024, Furgao, 67
24/10/2024, Furgao, 73
24/10/2024, Furgao, 79
24/10/2024, Furgao, 74
28/10/2024, Furgao, 70
29/10/2024, Furgao, 70
29/10/2024, Furgao, 61
29/10/2024, Furgao, 73
30/10/2024, Furgao, 73
30/10/2024, Furgao, 68
30/10/2024, Furgao, 68
30/10/2024, Furgao, 70
01/11/2024, Furgao, 70
04/11/2024, Furgao, 75
04/11/2024, Furgao, 77
05/11/2024, Furgao, 77
05/11/2024, Furgao, 75
07/11/2024, Furgao, 69
07/11/2024, Furgao, 62
08/11/2024, Furgao, 68
11/11/2024, Furgao, 76
11/11/2024, Furgao, 66
11/11/2024, Furgao, 73
11/11/2024, Furgao, 71
12/11/2024, Furgao, 68
12/11/2024, Furgao, 76
12/11/2024, Furgao, 61
13/11/2024, Furgao, 79
13/11/2024, Furgao, 82
13/11/2024, Furgao, 81
14/11/2024, Furgao, 78
14/11/2024, Furgao, 83
14/11/2024, Furgao, 83
04/12/2024, Furgao, 63
04/12/2024, Furgao, 66
